record_date,day_of_week,is_weekend,shop_id,store_name,category,daily_revenue_inr,transaction_count,store_footfall,sales_per_sqft,conversion_rate
01/06/25,Monday,FALSE,2045,Zara,Apparel,2123799,421,1796,70.79,0.2344098
01/07/25,Tuesday,FALSE,2045,Zara,Apparel,1009233,375,1916,33.64,0.195720251
01/08/25,Wednesday,FALSE,2045,Zara,Apparel,1277847,591,2475,42.59,0.238787879
01/09/25,Thursday,FALSE,2045,Zara,Apparel,1616137,259,1268,53.87,0.204258675
01/10/25,Friday,FALSE,2045,Zara,Apparel,1751139,388,1829,58.37,0.21213778
01/11/25,Saturday,TRUE,2045,Zara,Apparel,1590160,598,2831,53.01,0.21123278
01/12/25,Sunday,TRUE,2045,Zara,Apparel,3808473,590,2332,126.95,0.253001715
01/13/25,Monday,FALSE,2045,Zara,Apparel,1433595,231,996,47.79,0.231927711
01/14/25,Tuesday,FALSE,2045,Zara,Apparel,1123624,207,967,37.45,0.214064116
01/15/25,Wednesday,FALSE,2045,Zara,Apparel,1998283,247,1318,66.61,0.187405159
01/16/25,Thursday,FALSE,2045,Zara,Apparel,1726889,237,902,57.56,0.262749446
01/17/25,Friday,FALSE,2045,Zara,Apparel,2493168,462,1874,83.11,0.246531483
01/18/25,Saturday,TRUE,2045,Zara,Apparel,1402571,582,2633,46.75,0.221040638
01/19/25,Sunday,TRUE,2045,Zara,Apparel,4064703,563,2122,135.49,0.26531574
01/20/25,Monday,FALSE,2045,Zara,Apparel,1192830,592,2663,39.76,0.22230567
01/21/25,Tuesday,FALSE,2045,Zara,Apparel,1530718,418,1869,51.02,0.22364901
01/22/25,Wednesday,FALSE,2045,Zara,Apparel,2111687,441,1625,70.39,0.271384615
01/23/25,Thursday,FALSE,2045,Zara,Apparel,1454373,375,1518,48.48,0.247035573
01/24/25,Friday,FALSE,2045,Zara,Apparel,1231448,388,1967,41.05,0.197254703
01/25/25,Saturday,TRUE,2045,Zara,Apparel,1926946,707,2849,64.23,0.248157248
01/26/25,Sunday,TRUE,2045,Zara,Apparel,4012391,965,3894,133.75,0.247817155
01/27/25,Monday,FALSE,2045,Zara,Apparel,2449324,516,1925,81.64,0.268051948
01/28/25,Tuesday,FALSE,2045,Zara,Apparel,1050778,532,2168,35.03,0.245387454
01/29/25,Wednesday,FALSE,2045,Zara,Apparel,2329285,476,2459,77.64,0.193574624
01/30/25,Thursday,FALSE,2045,Zara,Apparel,1841477,562,2811,61.38,0.199928851
01/31/25,Friday,FALSE,2045,Zara,Apparel,2337440,262,1011,77.91,0.259149357
02/01/25,Saturday,TRUE,2045,Zara,Apparel,2880534,1123,5787,96.02,0.194055642
02/02/25,Sunday,TRUE,2045,Zara,Apparel,3074964,826,4334,102.5,0.190586064
02/03/25,Monday,FALSE,2045,Zara,Apparel,2166466,494,2020,72.22,0.244554455
02/04/25,Tuesday,FALSE,2045,Zara,Apparel,1090631,229,1230,36.35,0.186178862
02/05/25,Wednesday,FALSE,2045,Zara,Apparel,1933907,579,2530,64.46,0.228853755
02/06/25,Thursday,FALSE,2045,Zara,Apparel,1269416,380,1602,42.31,0.237203496
02/07/25,Friday,FALSE,2045,Zara,Apparel,1086307,436,1624,36.21,0.268472906
02/08/25,Saturday,TRUE,2045,Zara,Apparel,3178925,767,4102,105.96,0.18698196
02/09/25,Sunday,TRUE,2045,Zara,Apparel,1994381,397,1877,66.48,0.211507725
02/10/25,Monday,FALSE,2045,Zara,Apparel,1693359,268,1033,56.45,0.259438529
02/11/25,Tuesday,FALSE,2045,Zara,Apparel,2471052,329,1338,82.37,0.245889387
02/12/25,Wednesday,FALSE,2045,Zara,Apparel,2062312,324,1414,68.74,0.229137199
02/13/25,Thursday,FALSE,2045,Zara,Apparel,2486867,371,1468,82.9,0.252724796
02/14/25,Friday,FALSE,2045,Zara,Apparel,2079387,384,1676,69.31,0.229116945
02/15/25,Saturday,TRUE,2045,Zara,Apparel,3417897,851,4142,113.93,0.205456301
02/16/25,Sunday,TRUE,2045,Zara,Apparel,2175472,391,1539,72.52,0.254061079
02/17/25,Monday,FALSE,2045,Zara,Apparel,1648152,585,2947,54.94,0.198506956
02/18/25,Tuesday,FALSE,2045,Zara,Apparel,1948020,413,1890,64.93,0.218518519
02/19/25,Wednesday,FALSE,2045,Zara,Apparel,1268323,278,1424,42.28,0.195224719
02/20/25,Thursday,FALSE,2045,Zara,Apparel,1682393,444,2036,56.08,0.218074656
02/21/25,Friday,FALSE,2045,Zara,Apparel,1362514,409,1953,45.42,0.209421403
02/22/25,Saturday,TRUE,2045,Zara,Apparel,4604114,753,3225,153.47,0.233488372
02/23/25,Sunday,TRUE,2045,Zara,Apparel,1824635,710,3560,60.82,0.199438202
02/24/25,Monday,FALSE,2045,Zara,Apparel,1988771,275,1286,66.29,0.213841369
02/25/25,Tuesday,FALSE,2045,Zara,Apparel,894481,527,2138,29.82,0.246492049
02/26/25,Wednesday,FALSE,2045,Zara,Apparel,1007136,391,1639,33.57,0.238560098
02/27/25,Thursday,FALSE,2045,Zara,Apparel,2415396,534,2771,80.51,0.192710213
02/28/25,Friday,FALSE,2045,Zara,Apparel,1294337,342,1523,43.14,0.224556796
03/01/25,Saturday,TRUE,2045,Zara,Apparel,2347626,782,3751,78.25,0.208477739
03/02/25,Sunday,TRUE,2045,Zara,Apparel,2306171,660,3480,76.87,0.189655172
03/03/25,Monday,FALSE,2045,Zara,Apparel,1778325,477,2531,59.28,0.188463058
03/04/25,Tuesday,FALSE,2045,Zara,Apparel,1483617,394,1925,49.45,0.204675325
03/05/25,Wednesday,FALSE,2045,Zara,Apparel,933301,331,1527,31.11,0.216764898
03/06/25,Thursday,FALSE,2045,Zara,Apparel,858675,537,2302,28.62,0.233275413
03/07/25,Friday,FALSE,2045,Zara,Apparel,1674909,584,2489,55.83,0.234632382
03/08/25,Saturday,TRUE,2045,Zara,Apparel,4200601,659,3359,140.02,0.196189342
03/09/25,Sunday,TRUE,2045,Zara,Apparel,2365283,481,2107,78.84,0.228286664
03/10/25,Monday,FALSE,2045,Zara,Apparel,1915552,291,1416,63.85,0.205508475
03/11/25,Tuesday,FALSE,2045,Zara,Apparel,1271145,526,2404,42.37,0.218801997
03/12/25,Wednesday,FALSE,2045,Zara,Apparel,1751156,262,1247,58.37,0.21010425
03/13/25,Thursday,FALSE,2045,Zara,Apparel,2401547,506,2600,80.05,0.194615385
03/14/25,Friday,FALSE,2045,Zara,Apparel,3490433,1010,4145,116.35,0.243667069
03/15/25,Saturday,TRUE,2045,Zara,Apparel,2033568,1071,4325,67.79,0.247630058
03/16/25,Sunday,TRUE,2045,Zara,Apparel,5220253,594,3058,174.01,0.194244604
03/17/25,Monday,FALSE,2045,Zara,Apparel,800166,208,1107,26.67,0.187895212
03/18/25,Tuesday,FALSE,2045,Zara,Apparel,1699579,426,2094,56.65,0.203438395
03/19/25,Wednesday,FALSE,2045,Zara,Apparel,2173740,591,2554,72.46,0.231401723
03/20/25,Thursday,FALSE,2045,Zara,Apparel,2375809,400,1537,79.19,0.260247235
03/21/25,Friday,FALSE,2045,Zara,Apparel,2461890,480,2014,82.06,0.238331678
03/22/25,Saturday,TRUE,2045,Zara,Apparel,3735902,807,3744,124.53,0.215544872
03/23/25,Sunday,TRUE,2045,Zara,Apparel,2755821,856,3483,91.86,0.245765145
03/24/25,Monday,FALSE,2045,Zara,Apparel,1241305,371,1681,41.38,0.220701963
03/25/25,Tuesday,FALSE,2045,Zara,Apparel,956076,459,2432,31.87,0.188733553
03/26/25,Wednesday,FALSE,2045,Zara,Apparel,1906042,543,2014,63.53,0.269612711
03/27/25,Thursday,FALSE,2045,Zara,Apparel,2246086,315,1635,74.87,0.19266055
03/28/25,Friday,FALSE,2045,Zara,Apparel,1442940,533,2696,48.1,0.197700297
03/29/25,Saturday,TRUE,2045,Zara,Apparel,2365462,712,3284,78.85,0.21680877
03/30/25,Sunday,TRUE,2045,Zara,Apparel,1745388,687,3559,58.18,0.19303175
