record_date,is_weekend,shop_id,store_name,category,daily_revenue_inr,transaction_count,store_footfall,sales_per_sqft,conversion_rate,revenue_per_visitor,avg_bill_value,footfall_log,weekend_revenue_boost,category_mean_revenue,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday
2025-01-06,False,2045,Zara,Apparel,2123799,421,1796,70.79,0.2344098,1181.8580968280467,5032.699052132702,7.493873886783559,0,2007166.8178571428,True,False,False,False,False,False
2025-01-07,False,2045,Zara,Apparel,1009233,375,1916,33.64,0.195720251,526.4647887323944,2684.130319148936,7.558516743045645,0,2007166.8178571428,False,False,False,False,True,False
2025-01-08,False,2045,Zara,Apparel,1277847,591,2475,42.59,0.238787879,516.093295638126,2158.525337837838,7.814399633804487,0,2007166.8178571428,False,False,False,False,False,True
2025-01-09,False,2045,Zara,Apparel,1616137,259,1268,53.87,0.204258675,1273.5516154452325,6215.911538461539,7.1459844677143876,0,2007166.8178571428,False,False,False,True,False,False
2025-01-10,False,2045,Zara,Apparel,1751139,388,1829,58.37,0.21213778,956.9065573770491,4501.642673521851,7.512071245835466,0,2007166.8178571428,False,False,False,False,False,False
2025-01-11,True,2045,Zara,Apparel,1590160,598,2831,53.01,0.21123278,561.4971751412429,2654.6911519198666,7.94873845481361,2831,2007166.8178571428,False,True,False,False,False,False
2025-01-12,True,2045,Zara,Apparel,3808473,590,2332,126.95,0.253001715,1632.4359194170595,6444.116751269035,7.75491027202143,2332,2007166.8178571428,False,False,True,False,False,False
2025-01-13,False,2045,Zara,Apparel,1433595,231,996,47.79,0.231927711,1437.9087261785355,6179.288793103448,6.904750769961838,0,2007166.8178571428,True,False,False,False,False,False
2025-01-14,False,2045,Zara,Apparel,1123624,207,967,37.45,0.214064116,1160.7685950413222,5402.038461538462,6.875232087276577,0,2007166.8178571428,False,False,False,False,True,False
2025-01-15,False,2045,Zara,Apparel,1998283,247,1318,66.61,0.187405159,1514.9984836997726,8057.592741935484,7.1846291527173145,0,2007166.8178571428,False,False,False,False,False,True
2025-01-16,False,2045,Zara,Apparel,1726889,237,902,57.56,0.262749446,1912.390919158361,7255.836134453782,6.805722553416985,0,2007166.8178571428,False,False,False,True,False,False
2025-01-17,False,2045,Zara,Apparel,2493168,462,1874,83.11,0.246531483,1329.6896,5384.812095032397,7.536363938404511,0,2007166.8178571428,False,False,False,False,False,False
2025-01-18,True,2045,Zara,Apparel,1402571,582,2633,46.75,0.221040638,532.4870918754746,2405.7821612349912,7.876258882303226,2633,2007166.8178571428,False,True,False,False,False,False
2025-01-19,True,2045,Zara,Apparel,4064703,563,2122,135.49,0.26531574,1914.6033914272257,7206.920212765957,7.660585461703256,2122,2007166.8178571428,False,False,True,False,False,False
2025-01-20,False,2045,Zara,Apparel,1192830,592,2663,39.76,0.22230567,447.759009009009,2011.5177065767284,7.88758403166028,0,2007166.8178571428,True,False,False,False,False,False
2025-01-21,False,2045,Zara,Apparel,1530718,418,1869,51.02,0.22364901,818.5657754010696,3653.2649164677805,7.533693709848633,0,2007166.8178571428,False,False,False,False,True,False
2025-01-22,False,2045,Zara,Apparel,2111687,441,1625,70.39,0.271384615,1298.70049200492,4777.5723981900455,7.3938782901077555,0,2007166.8178571428,False,False,False,False,False,True
2025-01-23,False,2045,Zara,Apparel,1454373,375,1518,48.48,0.247035573,957.4542462146148,3868.0132978723404,7.325807502595773,0,2007166.8178571428,False,False,False,True,False,False
2025-01-24,False,2045,Zara,Apparel,1231448,388,1967,41.05,0.197254703,625.7357723577236,3165.676092544987,7.584773077612199,0,2007166.8178571428,False,False,False,False,False,False
2025-01-25,True,2045,Zara,Apparel,1926946,707,2849,64.23,0.248157248,676.1214035087719,2721.675141242938,7.955074273262696,2849,2007166.8178571428,False,True,False,False,False,False
2025-01-26,True,2045,Zara,Apparel,4012391,965,3894,133.75,0.247817155,1030.138896020539,4153.613871635611,8.267448958304849,3894,2007166.8178571428,False,False,True,False,False,False
2025-01-27,False,2045,Zara,Apparel,2449324,516,1925,81.64,0.268051948,1271.7154724818276,4737.570599613153,7.563200592358071,0,2007166.8178571428,True,False,False,False,False,False
2025-01-28,False,2045,Zara,Apparel,1050778,532,2168,35.03,0.245387454,484.4527431996312,1971.4409005628518,7.682021510826875,0,2007166.8178571428,False,False,False,False,True,False
2025-01-29,False,2045,Zara,Apparel,2329285,476,2459,77.64,0.193574624,946.8638211382114,4883.1970649895175,7.807916628926408,0,2007166.8178571428,False,False,False,False,False,True
2025-01-30,False,2045,Zara,Apparel,1841477,562,2811,61.38,0.199928851,654.8637980085349,3270.829484902309,7.941651252930556,0,2007166.8178571428,False,False,False,True,False,False
2025-01-31,False,2045,Zara,Apparel,2337440,262,1011,77.91,0.259149357,2309.723320158103,8887.604562737642,6.919683849847411,0,2007166.8178571428,False,False,False,False,False,False
2025-02-01,True,2045,Zara,Apparel,2880534,1123,5787,96.02,0.194055642,497.6734623358673,2562.752669039146,8.663542087751374,5787,2007166.8178571428,False,True,False,False,False,False
2025-02-02,True,2045,Zara,Apparel,3074964,826,4334,102.5,0.190586064,709.3342560553633,3718.2152357920195,8.374476889214643,4334,2007166.8178571428,False,False,True,False,False,False
2025-02-03,False,2045,Zara,Apparel,2166466,494,2020,72.22,0.244554455,1071.9772389905986,4376.69898989899,7.611347717403621,0,2007166.8178571428,True,False,False,False,False,False
2025-02-04,False,2045,Zara,Apparel,1090631,229,1230,36.35,0.186178862,885.9715678310317,4741.873913043478,7.115582126184454,0,2007166.8178571428,False,False,False,False,True,False
2025-02-05,False,2045,Zara,Apparel,1933907,579,2530,64.46,0.228853755,764.0881074674041,3334.3224137931034,7.836369760545124,0,2007166.8178571428,False,False,False,False,False,True
2025-02-06,False,2045,Zara,Apparel,1269416,380,1602,42.31,0.237203496,791.9001871490955,3331.8005249343832,7.3796321526095525,0,2007166.8178571428,False,False,False,True,False,False
2025-02-07,False,2045,Zara,Apparel,1086307,436,1624,36.21,0.268472906,668.4966153846154,2485.828375286041,7.393263094763838,0,2007166.8178571428,False,False,False,False,False,False
2025-02-08,True,2045,Zara,Apparel,3178925,767,4102,105.96,0.18698196,774.7806483061174,4139.225260416667,8.319473692442186,4102,2007166.8178571428,False,True,False,False,False,False
